Data,
Lateral(mm),Height Data(nm)
0,-16.76100651
0.0003332592756,-16.42841322
0.0006665185513,-16.53020308
0.0009997778269,-16.09629108
0.001333037103,-16.17508408
0.001666296378,-16.43159584
0.001999555654,-16.24553695
0.002332814929,-15.96487157
0.002666074205,-15.72887083
0.002999333481,-15.69875943
0.003332592756,-15.78208233
0.003665852032,-15.97363844
0.003999111308,-16.02975851
0.004332370583,-15.9303766
0.004665629859,-15.80064408
0.004998889135,-16.02213994
0.00533214841,-15.9781441
0.005665407686,-16.03065462
0.005998666961,-15.93467333
0.006331926237,-16.06468808
0.006665185513,-16.05285787
0.006998444788,-16.26590416
0.007331704064,-16.07741469
0.00766496334,-16.09721465
0.007998222615,-16.33479083
0.008331481891,-16.28462674
0.008664741167,-16.05468992
0.008998000442,-15.89878037
0.009331259718,-15.95580272
0.009664518994,-16.10602568
0.009997778269,-15.96348737
0.01033103754,-15.76304704
0.01066429682,-15.76098571
0.0109975561,-15.59351906
0.01133081537,-15.51225046
0.01166407465,-15.40625628
0.01199733392,-15.28423126
0.0123305932,-15.40491877
0.01266385247,-15.52400159
0.01299711175,-15.62903989
0.01333037103,-15.58241619
0.0136636303,-15.49899215
0.01399688958,-15.50442838
0.01433014885,-15.47584544
0.01466340813,-15.53339625
0.0149966674,-15.42240596
0.01532992668,-15.382171
0.01566318596,-15.28737183
0.01599644523,-15.25941452
0.01632970451,-15.05075141
0.01666296378,-14.78900539
0.01699622306,-14.61677614
0.01732948233,-14.68040291
0.01766274161,-14.74320053
0.01799600088,-14.80175994
0.01832926016,-14.60147405
0.01866251944,-14.76269418
0.01899577871,-15.04387455
0.01932903799,-15.05291371
0.01966229726,-14.7669447
0.01999555654,-14.8083527
0.02032881581,-14.94154417
0.02066207509,-14.90792067
0.02099533437,-14.81900919
0.02132859364,-14.54806065
0.02166185292,-14.47236642
0.02199511219,-14.60355076
0.02232837147,-14.4375385
0.02266163074,-14.2076293
0.02299489002,-13.91679081
0.02332814929,-13.94700981
0.02366140857,-13.93295548
0.02399466785,-13.6157973
0.02432792712,-13.37007692
0.0246611864,-13.09201614
0.02499444567,-13.04708626
0.02532770495,-13.24823458
0.02566096422,-13.31346049
0.0259942235,-13.09435144
0.02632748278,-13.07927184
0.02666074205,-12.77564316
0.02699400133,-12.93004071
0.0273272606,-12.80623026
0.02766051988,-12.63978918
0.02799377915,-12.56063746
0.02832703843,-12.57634421
0.0286602977,-12.56395145
0.02899355698,-12.52107045
0.02932681626,-12.19890064
0.02966007553,-12.22718176
0.02999333481,-12.50000221
0.03032659408,-12.50884687
0.03065985336,-12.3532094
0.03099311263,-12.27394051
0.03132637191,-12.27012128
0.03165963119,-12.45958359
0.03199289046,-12.08116512
0.03232614974,-11.7436082
0.03265940901,-11.47221403
0.03299266829,-11.54109647
0.03332592756,-11.46809021
0.03365918684,-11.24790468
0.03399244612,-11.1323917
0.03432570539,-11.37783449
0.03465896467,-11.47725346
0.03499222394,-11.27396329
0.03532548322,-10.99832779
0.03565874249,-10.90180749
0.03599200177,-10.61391197
0.03632526104,-10.50181199
0.03665852032,-10.31793081
0.0369917796,-10.05332295
0.03732503887,-9.706416701
0.03765829815,-9.285502015
0.03799155742,-9.185099609
0.0383248167,-8.808576366
0.03865807597,-8.544895818
0.03899133525,-8.554085987
0.03932459453,-8.737961597
0.0396578538,-8.853544117
0.03999111308,-9.145301686
0.04032437235,-9.35920314
0.04065763163,-9.602354225
0.0409908909,-9.984021382
0.04132415018,-10.23304528
0.04165740945,-10.31765909
0.04199066873,-10.33859899
0.04232392801,-10.27959401
0.04265718728,-10.37496782
0.04299044656,-10.23471087
0.04332370583,-9.707429535
0.04365696511,-9.4082861
0.04399022438,-9.101064162
0.04432348366,-8.534608418
0.04465674294,-7.835814332
0.04499000221,-7.275227105
0.04532326149,-6.881716502
0.04565652076,-6.676023724
0.04598978004,-6.172034199
0.04632303931,-5.505476997
0.04665629859,-5.21430444
0.04698955787,-5.222783757
0.04732281714,-5.428078531
0.04765607642,-5.579758475
0.04798933569,-5.788094076
0.04832259497,-5.915025133
0.04865585424,-6.192400896
0.04898911352,-6.604953191
0.04932237279,-6.625649755
0.04965563207,-6.59552891
0.04998889135,-6.631756123
0.05032215062,-6.8547492
0.0506554099,-6.75674647
0.05098866917,-6.448984094
0.05132192845,-6.194776752
0.05165518772,-6.022932753
0.051988447,-6.207255534
0.05232170628,-6.2618983
0.05265496555,-6.176698478
0.05298822483,-6.2005407
0.0533214841,-6.340693168
0.05365474338,-6.345642574
0.05398800265,-6.32978209
0.05432126193,-6.162276506
0.0546545212,-6.584081117
0.05498778048,-6.714310929
0.05532103976,-6.636482287
0.05565429903,-5.961371336
0.05598755831,-5.699436692
0.05632081758,-5.653079805
0.05665407686,-5.722619216
0.05698733613,-5.668135468
0.05732059541,-5.615157143
0.05765385469,-5.691230455
0.05798711396,-5.887725597
0.05832037324,-6.048632156
0.05865363251,-5.996616036
0.05898689179,-5.671505146
0.05932015106,-5.272166342
0.05965341034,-4.76695678
0.05998666961,-3.764949987
0.06031992889,-2.652774912
0.06065318817,-1.369620331
0.06098644744,-0.3759017493
0.06131970672,0.1057781902
0.06165296599,0.007058637864
0.06198622527,-0.3171659187
0.06231948454,-0.3386686021
0.06265274382,-0.01264274513
0.0629860031,-0.1924046168
0.06331926237,-0.1303013345
0.06365252165,-0.1784391706
0.06398578092,0.03620520628
0.0643190402,0.007362077459
0.06465229947,-0.1715117125
0.06498555875,-0.2721545269
0.06531881803,-0.3110023531
0.0656520773,-0.935100714
0.06598533658,-1.663567426
0.06631859585,-2.095935015
0.06665185513,-2.57147113
0.0669851144,-3.068823492
0.06731837368,-3.559630435
0.06765163295,-4.138303905
0.06798489223,-4.027222442
0.06831815151,-3.952245298
0.06865141078,-4.064143897
0.06898467006,-4.261656035
0.06931792933,-4.30468595
0.06965118861,-4.570524981
0.06998444788,-4.440505294
0.07031770716,-4.652011738
0.07065096644,-5.08547358
0.07098422571,-4.968549684
0.07131748499,-4.892683634
0.07165074426,-4.613509895
0.07198400354,-4.513653682
0.07231726281,-4.491829695
0.07265052209,-4.437888701
0.07298378136,-4.23951426
0.07331704064,-4.162942899
0.07365029992,-4.480723359
0.07398355919,-4.700203519
0.07431681847,-4.798018939
0.07465007774,-4.878628521
0.07498333702,-5.051219776
0.07531659629,-5.174158143
0.07564985557,-4.976472403
