Data,
Lateral(mm),Height Data(nm)
0,-10.34772125
5.55E-05,-9.410343367
0.0001110864252,-8.680071182
0.0001666296378,-8.219188723
0.0002221728504,-7.886959272
0.000277716063,-7.416579275
0.0003332592756,-6.911263886
0.0003888024882,-6.434645053
0.0004443457008,-5.961148525
0.0004998889134,-5.436051937
0.000555432126,-4.691497613
0.0006109753387,-4.130476256
0.0006665185513,-3.507255564
0.0007220617639,-3.077968516
0.0007776049765,-2.312243805
0.0008331481891,-1.691415126
0.0008886914017,-1.067128667
0.0009442346143,-0.7723713998
0.0009997778269,-0.4259916719
0.001055321039,-0.04556180877
0.001110864252,0.5764983707
0.001166407465,0.8892204786
0.001221950677,1.207975373
0.00127749389,1.201577971
0.001333037103,1.298746196
0.001388580315,1.564463776
0.001444123528,1.511659871
0.00149966674,1.243413897
0.001555209953,1.140519967
0.001610753166,0.9668619806
0.001666296378,0.8413521412
0.001721839591,0.5417349442
0.001777382803,0.1510966405
0.001832926016,-0.3199285524
0.001888469229,-0.5939368468
0.001944012441,-0.5946628543
0.001999555654,-1.041212759
0.002055098866,-1.345601121
0.002110642079,-1.449091107
0.002166185292,-1.187220865
0.002221728504,-0.8603892878
0.002277271717,-0.554175392
0.002332814929,-0.1060963855
0.002388358142,0.5053613195
0.002443901355,1.579424096
0.002499444567,2.399414163
0.00255498778,3.195499024
0.002610530992,4.267907777
0.002666074205,5.673256888
0.002721617418,7.020232278
0.00277716063,7.998274449
0.002832703843,9.094320528
0.002888247055,10.46650951
0.002943790268,11.79908349
0.002999333481,13.00666826
0.003054876693,14.35488177
0.003110419906,15.62947159
0.003165963118,16.88259721
0.003221506331,18.36143912
0.003277049544,19.72936897
0.003332592756,21.19450868
0.003388135969,22.76843308
0.003443679181,24.52167536
0.003499222394,26.42212712
0.003554765607,28.25628404
0.003610308819,30.1601244
0.003665852032,32.20066998
0.003721395245,34.45109176
0.003776938457,36.72769999
0.00383248167,38.73468489
0.003888024882,40.70549236
0.003943568095,42.76908337
0.003999111308,45.03106626
0.00405465452,46.97471049
0.004110197733,48.83407125
0.004165740945,50.74212789
0.004221284158,52.65219845
0.004276827371,54.64828613
0.004332370583,56.36930037
0.004387913796,58.02394639
0.004443457008,59.78419359
0.004499000221,61.81797136
0.004554543434,63.52839336
0.004610086646,64.95056156
0.004665629859,66.16706777
0.004721173071,67.60094913
0.004776716284,69.01246424
0.004832259497,70.2721024
0.004887802709,71.51393408
0.004943345922,72.88666511
0.004998889134,74.28723701
0.005054432347,75.78356007
0.00510997556,77.35218442
0.005165518772,79.12022375
0.005221061985,80.97203865
0.005276605197,83.19100361
0.00533214841,85.61567797
0.005387691623,88.27224698
0.005443234835,90.90563458
0.005498778048,93.66721937
0.00555432126,96.57709667
0.005609864473,99.54985519
0.005665407686,102.6147501
0.005720950898,105.4790456
0.005776494111,108.5603534
0.005832037324,111.5038721
0.005887580536,114.2489206
0.005943123749,117.0131509
0.005998666961,120.0460689
0.006054210174,122.8738998
0.006109753387,125.5893416
0.006165296599,127.9997534
0.006220839812,130.2134516
0.006276383024,132.3817972
0.006331926237,134.8385181
0.00638746945,136.7361799
0.006443012662,138.6592862
0.006498555875,140.476261
0.006554099087,142.5284509
0.0066096423,144.4689348
0.006665185513,146.3863526
0.006720728725,147.957387
0.006776271938,149.7844221
0.00683181515,151.4361642
0.006887358363,153.2914736
0.006942901576,154.9813438
0.006998444788,156.8409045
0.007053988001,158.7397202
0.007109531213,160.8219505
0.007165074426,162.9244773
0.007220617639,165.1955295
0.007276160851,167.4905088
0.007331704064,169.7681093
0.007387247276,172.2094836
0.007442790489,175.0464735
0.007498333702,177.675265
0.007553876914,180.1566162
0.007609420127,182.8131103
0.007664963339,185.7432065
0.007720506552,188.2707096
0.007776049765,190.823055
0.007831592977,193.5360653
0.00788713619,196.1881435
0.007942679402,198.7961057
0.007998222615,201.3117171
0.008053765828,203.8179854
0.00810930904,206.2980554
0.008164852253,209.2814283
0.008220395466,212.1852311
0.008275938678,214.8227322
0.008331481891,217.6800622
0.008387025103,220.9555497
0.008442568316,224.3653749
0.008498111529,227.8920446
0.008553654741,231.8495008
0.008609197954,236.2892662
0.008664741166,240.69449
0.008720284379,245.3181447
0.008775827592,249.8625573
0.008831370804,254.6418245
0.008886914017,259.5163794
0.008942457229,264.3026827
0.008998000442,268.8954278
0.009053543655,273.3184835
0.009109086867,277.5103659
0.00916463008,281.6898093
0.009220173292,285.7535318
0.009275716505,289.8007163
0.009331259718,293.5485442
0.00938680293,297.2004784
0.009442346143,300.6174875
0.009497889355,304.0570882
0.009553432568,307.0893107
0.009608975781,310.0334247
0.009664518993,313.1616
0.009720062206,316.3327587
0.009775605418,319.4204066
0.009831148631,322.4246438
0.009886691844,325.4708353
0.009942235056,328.7113762
0.009997778269,332.4147926
0.01005332148,336.1431556
0.01010886469,340.0153881
0.01016440791,343.9978222
0.01021995112,348.6324634
0.01027549433,353.363833
0.01033103754,358.1656981
0.01038658076,362.9270936
0.01044212397,368.1787853
0.01049766718,373.43707
0.01055321039,378.854563
0.01060875361,384.2561992
0.01066429682,389.5227167
0.01071984003,394.9204928
0.01077538325,400.6010126
0.01083092646,405.940348
0.01088646967,411.3864669
0.01094201288,416.5913545
0.0109975561,421.8812692
0.01105309931,426.975242
0.01110864252,431.8631026
0.01116418573,436.1858273
0.01121972895,440.6631929
0.01127527216,445.1457467
0.01133081537,449.427972
0.01138635858,453.1129853
0.0114419018,456.8083909
0.01149744501,460.6486784
0.01155298822,464.2537615
0.01160853143,467.719579
